原始链接,新链接,源内容ID,目标内容ID
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091641.jpg,/static/upfiles/old/20140714091641.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201211282447933.jpg,/static/upfiles/old/201211282447933.jpg,621,309
/upfiles/image/20191009110323.jpg,/static/upfiles/old/20191009110323.jpg,825,417
/upfiles/image/20180724125713.jpg,/static/upfiles/old/20180724125713.jpg,817,412
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/091020093B1.jpg,/static/upfiles/old/091020093B1.jpg,451,280
/upfiles/image/20160701075656.png,/static/upfiles/old/20160701075656.png,766,378
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150309123136.jpg,/static/upfiles/old/20150309123136.jpg,676,352
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150309123146.jpg,/static/upfiles/old/20150309123146.jpg,676,352
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135991751651.jpg,/static/upfiles/old/20135991751651.jpg,647,331
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710145035456.jpg,/static/upfiles/old/2012710145035456.jpg,626,314
/upfiles/image/20191217165022.jpg,/static/upfiles/old/20191217165022.jpg,827,419
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710145613574.jpg,/static/upfiles/old/2012710145613574.jpg,627,315
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/10032608C02.jpg,/static/upfiles/old/10032608C02.jpg,455,284
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20137169738432.jpg,/static/upfiles/old/20137169738432.jpg,651,333
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20118814142701.jpg,/static/upfiles/old/20118814142701.jpg,583,295
/upfiles/image/20170105101917.png,/static/upfiles/old/20170105101917.png,780,385
/upfiles/image/20171123133431.jpg,/static/upfiles/old/20171123133431.jpg,784,386
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012727145215969.jpg,/static/upfiles/old/2012727145215969.jpg,632,319
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012521206221.jpg,/static/upfiles/old/2012521206221.jpg,625,313
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/10042909082.jpg,/static/upfiles/old/10042909082.jpg,457,286
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201388112926826.jpg,/static/upfiles/old/201388112926826.jpg,652,334
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/10061708ACB.jpg,/static/upfiles/old/10061708ACB.jpg,459,288
/upfiles/image/20160118075204.jpg,/static/upfiles/old/20160118075204.jpg,728,366
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140711145106.jpg,/static/upfiles/old/20140711145106.jpg,662,340
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140711145207.jpg,/static/upfiles/old/20140711145207.jpg,662,340
http://player.youku.com/player.php/sid/XMzEyNjgyMzE2/v.swf,/static/upfiles/old/v.swf,612,302
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/10061708AB4.jpg,/static/upfiles/old/10061708AB4.jpg,459,288
/upfiles/image/20180316084939.jpg,/static/upfiles/old/20180316084939.jpg,811,406
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201272714520808.jpg,/static/upfiles/old/201272714520808.jpg,632,319
